Glyph Name,Unicode Codepoint (hex),Character
uniE430,U+E430,
uniE431,U+E431,
uniE432,U+E432,
uniE433,U+E433,
uniE434,U+E434,
uniE435,U+E435,
uniE436,U+E436,
uniE437,U+E437,
uniE438,U+E438,
uniE439,U+E439,
uniE43A,U+E43A,
uniE43B,U+E43B,
uniE43C,U+E43C,
uniE43D,U+E43D,
uniE43E,U+E43E,
uniE43F,U+E43F,
uniE440,U+E440,
uniE441,U+E441,
uniE442,U+E442,
uniE443,U+E443,
uniE444,U+E444,
uniE445,U+E445,
uniE446,U+E446,
uniE447,U+E447,
uniE448,U+E448,
uniE449,U+E449,
uniE44A,U+E44A,
uniE44B,U+E44B,
uniE44C,U+E44C,
uniE44D,U+E44D,
uniE44E,U+E44E,
uniE44F,U+E44F,
uniE450,U+E450,
uniE451,U+E451,
uniE452,U+E452,
uniE453,U+E453,
uniE454,U+E454,
uniE455,U+E455,
uniE456,U+E456,
uniE457,U+E457,
uniE458,U+E458,
uniE459,U+E459,
uniE45A,U+E45A,
uniE45B,U+E45B,
uniE45C,U+E45C,
uniE45D,U+E45D,
uniE45E,U+E45E,
uniE45F,U+E45F,
uniE460,U+E460,
uniE461,U+E461,
uniE462,U+E462,
uniE463,U+E463,
uniE464,U+E464,
uniE465,U+E465,
uniE466,U+E466,
uniE467,U+E467,
uniE468,U+E468,
uniE469,U+E469,
uniE46A,U+E46A,
uniE46B,U+E46B,
uniE46C,U+E46C,
uniE46D,U+E46D,
uniE46E,U+E46E,
uniE46F,U+E46F,
uniE470,U+E470,
uniE471,U+E471,
uniE472,U+E472,
uniE473,U+E473,
uniE474,U+E474,
uniE475,U+E475,
uniE476,U+E476,
uniE477,U+E477,
uniE478,U+E478,
uniE479,U+E479,
uniE47A,U+E47A,
uniE47B,U+E47B,
uniE47C,U+E47C,
uniE47D,U+E47D,
uniE47E,U+E47E,
uniE47F,U+E47F,
uniE480,U+E480,
uniE481,U+E481,
uniE482,U+E482,
uniE483,U+E483,
uniE484,U+E484,
uniE485,U+E485,
uniE486,U+E486,
uniE487,U+E487,
uniE488,U+E488,
uniE489,U+E489,
uniE48A,U+E48A,
uniE48B,U+E48B,
uniE48C,U+E48C,
uniE48D,U+E48D,
uniE48E,U+E48E,
uniE48F,U+E48F,
uniE490,U+E490,
uniE491,U+E491,
uniE492,U+E492,
uniE493,U+E493,
uniE494,U+E494,
uniE495,U+E495,
uniE496,U+E496,
uniE497,U+E497,
uniE498,U+E498,
uniE499,U+E499,
uniE49A,U+E49A,
uniE49B,U+E49B,
uniE49C,U+E49C,
uniE49D,U+E49D,
uniE49E,U+E49E,
uniE49F,U+E49F,
uniE4A0,U+E4A0,
uniE4A1,U+E4A1,
uniE4A2,U+E4A2,
uniE4A3,U+E4A3,
uniE4A4,U+E4A4,
uniE4A5,U+E4A5,
uniE4A6,U+E4A6,
uniE4A7,U+E4A7,
uniE4A8,U+E4A8,
uniE4A9,U+E4A9,
uniE4AA,U+E4AA,
uniE4AB,U+E4AB,
uniE4AC,U+E4AC,
uniE4AD,U+E4AD,
uniE4AE,U+E4AE,
uniE4AF,U+E4AF,
uniE4B0,U+E4B0,
uniE4B1,U+E4B1,
uniE4B2,U+E4B2,
uniE4B3,U+E4B3,
uniE4B4,U+E4B4,
uniE4B5,U+E4B5,
uniE4B6,U+E4B6,
uniE4B7,U+E4B7,
uniE4B8,U+E4B8,
uniE4B9,U+E4B9,
uniE4BA,U+E4BA,
uniE4BB,U+E4BB,
uniE4BC,U+E4BC,
uniE4BD,U+E4BD,
uniE4BE,U+E4BE,
uniE4BF,U+E4BF,
uniE4C0,U+E4C0,
uniE4C1,U+E4C1,
uniE4C2,U+E4C2,
uniE4C3,U+E4C3,
uniE4C4,U+E4C4,
uniE4C5,U+E4C5,
uniE4C6,U+E4C6,
uniE4C7,U+E4C7,
uniE4C8,U+E4C8,
uniE4C9,U+E4C9,
uniE4CA,U+E4CA,
uniE4CB,U+E4CB,
uniE4CC,U+E4CC,
uniE4CD,U+E4CD,
uniE4CE,U+E4CE,
uniE4CF,U+E4CF,
uniE4D0,U+E4D0,
uniE4D1,U+E4D1,
uniE4D2,U+E4D2,
uniE4D3,U+E4D3,
uniE4D4,U+E4D4,
uniE4D5,U+E4D5,
uniE4D6,U+E4D6,
uniE4D7,U+E4D7,
uniE4D8,U+E4D8,
uniE4D9,U+E4D9,
uniE4DA,U+E4DA,
uniE4DB,U+E4DB,
uniE4DC,U+E4DC,
uniE4DD,U+E4DD,
uniE4DE,U+E4DE,
uniE4DF,U+E4DF,
uniE4E0,U+E4E0,
uniE4E1,U+E4E1,
uniE4E2,U+E4E2,
uniE4E3,U+E4E3,
uniE4E4,U+E4E4,
uniE4E5,U+E4E5,
uniE4E6,U+E4E6,
uniE4E7,U+E4E7,
uniE4E8,U+E4E8,
uniE4E9,U+E4E9,
uniE4EA,U+E4EA,
uniE4EB,U+E4EB,
uniE4EC,U+E4EC,
uniE4ED,U+E4ED,
uniE4EE,U+E4EE,
uniE4EF,U+E4EF,
uniE4F0,U+E4F0,
uniE4F1,U+E4F1,
uniE4F2,U+E4F2,
uniE4F3,U+E4F3,
uniE4F4,U+E4F4,
uniE4F5,U+E4F5,
uniE4F6,U+E4F6,
uniE4F7,U+E4F7,
uniE4F8,U+E4F8,
uniE4F9,U+E4F9,
uniE4FA,U+E4FA,
uniE4FB,U+E4FB,
uniE4FC,U+E4FC,
uniE4FD,U+E4FD,
uniE4FE,U+E4FE,
uniE4FF,U+E4FF,
uniE500,U+E500,
uniE501,U+E501,
uniE502,U+E502,
uniE503,U+E503,
uniE504,U+E504,
uniE505,U+E505,
uniE506,U+E506,
uniE507,U+E507,
uniE508,U+E508,
uniE509,U+E509,
uniE50A,U+E50A,
uniE50B,U+E50B,
uniE50C,U+E50C,
uniE50D,U+E50D,
uniE50E,U+E50E,
uniE50F,U+E50F,
uniE510,U+E510,
uniE511,U+E511,
uniE512,U+E512,
uniE513,U+E513,
uniE514,U+E514,
uniE515,U+E515,
uniE516,U+E516,
uniE517,U+E517,
uniE518,U+E518,
uniE519,U+E519,
uniE51A,U+E51A,
uniE51B,U+E51B,
uniE51C,U+E51C,
uniE51D,U+E51D,
uniE51E,U+E51E,
uniE51F,U+E51F,
uniE520,U+E520,
uniE521,U+E521,
uniE522,U+E522,
uniE523,U+E523,
uniE524,U+E524,
uniE525,U+E525,
uniE526,U+E526,
uniE527,U+E527,
uniE528,U+E528,
uniE529,U+E529,
uniE52A,U+E52A,
uniE52B,U+E52B,
uniE52C,U+E52C,
uniE52D,U+E52D,
uniE52E,U+E52E,
uniE52F,U+E52F,
uniE530,U+E530,
uniE531,U+E531,
uniE532,U+E532,
uniE533,U+E533,
uniE534,U+E534,
uniE535,U+E535,
uniE536,U+E536,
uniE537,U+E537,
uniE538,U+E538,
uniE539,U+E539,
uniE53A,U+E53A,
uniE53B,U+E53B,
uniE53C,U+E53C,
uniE53D,U+E53D,
uniE53E,U+E53E,
uniE53F,U+E53F,
uniE540,U+E540,
uniE541,U+E541,
uniE542,U+E542,
uniE543,U+E543,
uniE544,U+E544,
uniE545,U+E545,
uniE546,U+E546,
uniE547,U+E547,
uniE548,U+E548,
uniE549,U+E549,
uniE54A,U+E54A,
uniE54B,U+E54B,
uniE54C,U+E54C,
uniE54D,U+E54D,
uniE54E,U+E54E,
uniE54F,U+E54F,
uniE550,U+E550,
uniE551,U+E551,
uniE552,U+E552,
uniE553,U+E553,
uniE554,U+E554,
uniE555,U+E555,
uniE556,U+E556,
uniE557,U+E557,
uniE558,U+E558,
uniE559,U+E559,
uniE55A,U+E55A,
uniE55B,U+E55B,
uniE55C,U+E55C,
uniE55D,U+E55D,
uniE55E,U+E55E,
uniE55F,U+E55F,
uniE560,U+E560,
uniE561,U+E561,
uniE562,U+E562,
uniE563,U+E563,
uniE564,U+E564,
uniE565,U+E565,
uniE566,U+E566,
uniE567,U+E567,
uniE568,U+E568,
uniE569,U+E569,
uniE56A,U+E56A,
uniE56B,U+E56B,
uniE56C,U+E56C,
uniE56D,U+E56D,
uniE56E,U+E56E,
uniE56F,U+E56F,
uniE570,U+E570,
uniE571,U+E571,
uniE572,U+E572,
uniE573,U+E573,
uniE574,U+E574,
uniE575,U+E575,
uniE576,U+E576,
uniE577,U+E577,
uniE578,U+E578,
uniE579,U+E579,
uniE57A,U+E57A,
uniE57B,U+E57B,
uniE57C,U+E57C,
uniE57D,U+E57D,
uniE57E,U+E57E,
uniE57F,U+E57F,
uniE580,U+E580,
uniE581,U+E581,
uniE582,U+E582,
uniE583,U+E583,
uniE584,U+E584,
uniE585,U+E585,
uniE586,U+E586,
uniE587,U+E587,
uniE588,U+E588,
uniE589,U+E589,
uniE58A,U+E58A,
uniE58B,U+E58B,
uniE58C,U+E58C,
uniE58D,U+E58D,
uniE58E,U+E58E,
uniE58F,U+E58F,
uniE590,U+E590,
uniE591,U+E591,
uniE592,U+E592,
uniE593,U+E593,
uniE594,U+E594,
uniE595,U+E595,
uniE596,U+E596,
uniE597,U+E597,
uniE598,U+E598,
uniE599,U+E599,
uniE59A,U+E59A,
uniE59B,U+E59B,
uniE59C,U+E59C,
uniE59D,U+E59D,
uniE59E,U+E59E,
uniE59F,U+E59F,
uniE5A0,U+E5A0,
uniE5A1,U+E5A1,
uniE5A2,U+E5A2,
uniE5A3,U+E5A3,
uniE5A4,U+E5A4,
uniE5A5,U+E5A5,
uniE5A6,U+E5A6,
uniE5A7,U+E5A7,
uniE5A8,U+E5A8,
uniE5A9,U+E5A9,
uniE5AA,U+E5AA,
uniE5AB,U+E5AB,
uniE5AC,U+E5AC,
uniE5AD,U+E5AD,
uniE5AE,U+E5AE,
uniE5AF,U+E5AF,
uniE5B0,U+E5B0,
uniE5B1,U+E5B1,
uniE5B2,U+E5B2,
uniE5B3,U+E5B3,
uniE5B4,U+E5B4,
uniE5B5,U+E5B5,
uniE5B6,U+E5B6,
uniE5B7,U+E5B7,
uniE5B8,U+E5B8,
uniE5B9,U+E5B9,
uniE5BA,U+E5BA,
uniE5BB,U+E5BB,
uniE5BC,U+E5BC,
uniE5BD,U+E5BD,
uniE5BE,U+E5BE,
uniE5BF,U+E5BF,
uniE5C0,U+E5C0,
uniE5C1,U+E5C1,
uniE5C2,U+E5C2,
uniE5C3,U+E5C3,
uniE5C4,U+E5C4,
uniE5C5,U+E5C5,
uniE5C6,U+E5C6,
uniE5C7,U+E5C7,
uniE5C8,U+E5C8,
uniE5C9,U+E5C9,
uniE5CA,U+E5CA,
uniE5CB,U+E5CB,
uniE5CC,U+E5CC,
uniE5CD,U+E5CD,
uniE5CE,U+E5CE,
uniE5CF,U+E5CF,
uniE5D0,U+E5D0,
uniE5D1,U+E5D1,
uniE5D2,U+E5D2,
uniE5D3,U+E5D3,
uniE5D4,U+E5D4,
uniE5D5,U+E5D5,
uniE5D6,U+E5D6,
uniE5D7,U+E5D7,
uniE5D8,U+E5D8,
uniE5D9,U+E5D9,
uniE5DA,U+E5DA,
uniE5DB,U+E5DB,
uniE5DC,U+E5DC,
uniE5DD,U+E5DD,
uniE5DE,U+E5DE,
uniE5DF,U+E5DF,
uniE5E0,U+E5E0,
uniE5E1,U+E5E1,
uniE5E2,U+E5E2,
uniE5E3,U+E5E3,
uniE5E4,U+E5E4,
uniE5E5,U+E5E5,
uniE5E6,U+E5E6,
uniE5E7,U+E5E7,
uniE5E8,U+E5E8,
uniE5E9,U+E5E9,
uniE5EA,U+E5EA,
uniE5EB,U+E5EB,
uniE5EC,U+E5EC,
uniE5ED,U+E5ED,
uniE5EE,U+E5EE,
uniE5EF,U+E5EF,
uniE5F0,U+E5F0,
uniE5F1,U+E5F1,
uniE5F2,U+E5F2,
uniE5F3,U+E5F3,
uniE5F4,U+E5F4,
uniE5F5,U+E5F5,
uniE5F6,U+E5F6,
uniE5F7,U+E5F7,
uniE5F8,U+E5F8,
uniE5F9,U+E5F9,
uniE5FA,U+E5FA,
uniE5FB,U+E5FB,
uniE5FC,U+E5FC,
uniE5FD,U+E5FD,
uniE5FE,U+E5FE,
uniE5FF,U+E5FF,
uniE600,U+E600,
uniE601,U+E601,
uniE602,U+E602,
uniE603,U+E603,
uniE604,U+E604,
uniE605,U+E605,
uniE606,U+E606,
uniE607,U+E607,
uniE608,U+E608,
uniE609,U+E609,
uniE60A,U+E60A,
uniE60B,U+E60B,
uniE60C,U+E60C,
uniE60D,U+E60D,
uniE60E,U+E60E,
uniE60F,U+E60F,
uniE610,U+E610,
uniE611,U+E611,
uniE612,U+E612,
uniE613,U+E613,
uniE614,U+E614,
uniE615,U+E615,
uniE616,U+E616,
uniE617,U+E617,
uniE618,U+E618,
uniE619,U+E619,
uniE61A,U+E61A,
uniE61B,U+E61B,
uniE61C,U+E61C,
uniE61D,U+E61D,
uniE61E,U+E61E,
uniE61F,U+E61F,
uniE620,U+E620,
uniE621,U+E621,
uniE622,U+E622,
uniE623,U+E623,
uniE624,U+E624,
uniE625,U+E625,
uniE626,U+E626,
uniE627,U+E627,
uniE628,U+E628,
uniE629,U+E629,
uniE62A,U+E62A,
uniE62B,U+E62B,
uniE62C,U+E62C,
uniE62D,U+E62D,
uniE62E,U+E62E,
uniE62F,U+E62F,
uniE630,U+E630,
uniE631,U+E631,
uniE632,U+E632,
uniE633,U+E633,
uniE634,U+E634,
uniE635,U+E635,
uniE636,U+E636,
uniE637,U+E637,
uniE638,U+E638,
uniE639,U+E639,
uniE63A,U+E63A,
uniE63B,U+E63B,
uniE63C,U+E63C,
uniE63D,U+E63D,
uniE63E,U+E63E,
uniE63F,U+E63F,
uniE640,U+E640,
uniE641,U+E641,
uniE642,U+E642,
uniE643,U+E643,
uniE644,U+E644,
uniE645,U+E645,
uniE646,U+E646,
uniE647,U+E647,
uniE648,U+E648,
uniE649,U+E649,
uniE64A,U+E64A,
uniE64B,U+E64B,
uniE64C,U+E64C,
uniE64D,U+E64D,
uniE64E,U+E64E,
uniE64F,U+E64F,
uniE650,U+E650,
uniE651,U+E651,
uniE652,U+E652,
uniE653,U+E653,
uniE654,U+E654,
uniE655,U+E655,
uniE656,U+E656,
uniE657,U+E657,
uniE658,U+E658,
uniE659,U+E659,
uniE65A,U+E65A,
uniE65B,U+E65B,
uniE65C,U+E65C,
uniE65D,U+E65D,
uniE65E,U+E65E,
uniE65F,U+E65F,
uniE660,U+E660,
uniE661,U+E661,
uniE662,U+E662,
uniE663,U+E663,
uniE664,U+E664,
uniE665,U+E665,
uniE666,U+E666,
uniE667,U+E667,
uniE668,U+E668,
uniE669,U+E669,
uniE66A,U+E66A,
uniE66B,U+E66B,
uniE66C,U+E66C,
uniE66D,U+E66D,
uniE66E,U+E66E,
uniE66F,U+E66F,
uniE670,U+E670,
uniE671,U+E671,
uniE672,U+E672,
uniE673,U+E673,
uniE674,U+E674,
uniE675,U+E675,
uniE676,U+E676,
uniE677,U+E677,
uniE678,U+E678,
uniE679,U+E679,
uniE67A,U+E67A,
uniE67B,U+E67B,
uniE67C,U+E67C,
uniE67D,U+E67D,
uniE67E,U+E67E,
uniE67F,U+E67F,
uniE680,U+E680,
uniE681,U+E681,
uniE682,U+E682,
uniE683,U+E683,
uniE684,U+E684,
uniE685,U+E685,
uniE686,U+E686,
uniE687,U+E687,
