Glyph Name,Unicode Codepoint (hex),Character
uniE0EE,U+E0EE,
uniE0EF,U+E0EF,
uniE0F0,U+E0F0,
uniE0F1,U+E0F1,
uniE0F2,U+E0F2,
uniE0F3,U+E0F3,
uniE0F4,U+E0F4,
uniE0F5,U+E0F5,
uniE0F6,U+E0F6,
uniE0F7,U+E0F7,
uniE0F8,U+E0F8,
uniE0F9,U+E0F9,
uniE0FA,U+E0FA,
uniE0FB,U+E0FB,
uniE0FC,U+E0FC,
uniE0FD,U+E0FD,
uniE0FE,U+E0FE,
uniE0FF,U+E0FF,
uniE100,U+E100,
uniE101,U+E101,
uniE102,U+E102,
uniE103,U+E103,
uniE104,U+E104,
uniE105,U+E105,
uniE106,U+E106,
uniE107,U+E107,
uniE108,U+E108,
uniE109,U+E109,
uniE10A,U+E10A,
uniE10B,U+E10B,
uniE10C,U+E10C,
uniE10D,U+E10D,
uniE10E,U+E10E,
uniE10F,U+E10F,
uniE110,U+E110,
uniE111,U+E111,
uniE112,U+E112,
uniE113,U+E113,
uniE114,U+E114,
uniE115,U+E115,
uniE116,U+E116,
uniE117,U+E117,
uniE118,U+E118,
uniE119,U+E119,
uniE11A,U+E11A,
uniE11B,U+E11B,
uniE11C,U+E11C,
uniE11D,U+E11D,
uniE11E,U+E11E,
uniE11F,U+E11F,
uniE120,U+E120,
uniE121,U+E121,
uniE122,U+E122,
uniE123,U+E123,
uniE124,U+E124,
uniE125,U+E125,
uniE126,U+E126,
uniE127,U+E127,
uniE128,U+E128,
uniE129,U+E129,
uniE12A,U+E12A,
uniE12B,U+E12B,
uniE12C,U+E12C,
uniE12D,U+E12D,
uniE12E,U+E12E,
uniE12F,U+E12F,
uniE130,U+E130,
uniE131,U+E131,
uniE132,U+E132,
uniE133,U+E133,
uniE134,U+E134,
uniE135,U+E135,
uniE136,U+E136,
uniE137,U+E137,
uniE138,U+E138,
uniE139,U+E139,
uniE13A,U+E13A,
uniE13B,U+E13B,
uniE13C,U+E13C,
uniE13D,U+E13D,
uniE13E,U+E13E,
uniE13F,U+E13F,
uniE140,U+E140,
uniE141,U+E141,
uniE142,U+E142,
uniE143,U+E143,
uniE144,U+E144,
uniE145,U+E145,
uniE146,U+E146,
uniE147,U+E147,
uniE148,U+E148,
uniE149,U+E149,
uniE14A,U+E14A,
uniE14B,U+E14B,
uniE14C,U+E14C,
uniE14D,U+E14D,
uniE14E,U+E14E,
uniE14F,U+E14F,
uniE150,U+E150,
uniE151,U+E151,
uniE152,U+E152,
uniE153,U+E153,
uniE154,U+E154,
uniE155,U+E155,
uniE156,U+E156,
uniE157,U+E157,
uniE158,U+E158,
uniE159,U+E159,
uniE15A,U+E15A,
uniE15B,U+E15B,
uniE15C,U+E15C,
uniE15D,U+E15D,
uniE15E,U+E15E,
uniE15F,U+E15F,
uniE160,U+E160,
uniE161,U+E161,
uniE162,U+E162,
uniE163,U+E163,
uniE164,U+E164,
uniE165,U+E165,
uniE166,U+E166,
uniE167,U+E167,
uniE168,U+E168,
uniE169,U+E169,
uniE16A,U+E16A,
uniE16B,U+E16B,
uniE16C,U+E16C,
uniE16D,U+E16D,
uniE16E,U+E16E,
uniE16F,U+E16F,
uniE170,U+E170,
uniE171,U+E171,
uniE172,U+E172,
uniE173,U+E173,
uniE174,U+E174,
